book_id,category,bname,author,tag
25,百合,我們的那個年代(GL),開心果子,百合
33,百合,囚徒(GL),紫起司,百合
35,百合,角落草。陽光,東 風水,百合
38,奇幻,【Hololive同人】虛擬公會才不清楚,憑軒遙望,百合
40,百合,盜海浮生,朱門九,百合
58,漫畫,女兒們,方愚,百合
79,耽美,雙蜜雙甜,麻子,百合
80,百合,厄比絲的眼[GL],三月的嫩草,百合
92,百合,以吻噤聲,東 風水,百合
101,百合,這輩子，讓我愛妳~,Summer,百合
112,百合,【GL長篇】《與妳共飲的青春》,武佳栩,百合
124,百合,《花開不慢》（GL）,刃心,百合
127,百合,撿隻小羊拎回家(GL),墨觴,百合
133,百合,散花集,白開水,百合
136,百合,【GL】口生惡苦,色之羊予沁???( ˙?˙ )???,百合
146,校園愛情,微風的悸動,秦荼,百合
173,奇幻,異世界來的異世界人管理者,笑望天,百合
188,百合,青春,森璟,百合
203,百合,【ABO】穿越後，我對上司一見鍾情GL,一片小小的雪花,百合
211,百合,解剖師Anatomist (GL),福恩,百合
218,百合,Lycoris Recoil 同人文,白噗噗,百合
219,百合,絕代風采,老娘,百合
228,百合,再次緊握妳的手(GL),墨觴,百合
258,百合,【GL】風箏指路,Afar鷗,百合
262,百合,金魚、棒棒糖、妳(GL),當大麥升起時kk,百合
267,校園愛情,夏夜徐徐，浮光冬雪,冉陽,百合
280,其它,神話傳說,雪月,百合
310,百合,穿越之云与海GL,?坡,百合
311,百合,?流作家俏警花,?坡,百合
316,百合,Last cigarette,森璟,百合
337,百合,夏堇與巫女,田子犬,百合
341,百合,把全世界的溫暖都給她,kane.,百合
345,百合,安卓利亞,泡福,百合
358,百合,天命,供過佛的多多綠,百合
371,百合,對我緊追不捨的前女友,白薔薇,百合
384,百合,麟心有千千婕（GL）,鞠飲,百合
411,百合,昕昕向融,Sarkez,百合
431,同人,文明傾頹,浪蒼,百合
432,同人,航向未來,浪蒼,百合
459,百合,光影天平,Flora.Kisaragi,百合
465,百合,創始之境,老娘,百合
486,百合,一見鍾情,幼羽,百合
496,百合,GL?婉春城,小酒不?酒,百合
513,百合,【GL】汽水美乃滋,黎胖,百合
514,軍事戰爭/災難冒險,末世AI,月兔,百合
518,百合,【GL】百合短篇小說集,黎胖,百合
522,百合,海蝸牛和貓葡萄（GL）,黎胖,百合
528,校園愛情,我是女生耶,千翎,百合
11,奇幻,夢境食用守則,瑭碧,妖怪
42,都會愛情,再次,逋,妖怪
73,古代愛情,師尊，師姐又來了！,小彥子飛走啦～,妖怪
83,都市,末日生存,飛躍,妖怪
117,奇幻,彼岸物語,安逸經,妖怪
118,玄幻,文榆街的遺願相談所,東燁,妖怪
224,奇幻,皓月奇譚,汜羽荃,妖怪
247,耽美,古木新花年年發,禪狐,妖怪
252,人文科普,?誅神誅?,?愛神愛?,妖怪
253,玄幻,殺手，別怕,流星2世,妖怪
282,奇幻,隱形守護者,白天雨,妖怪
329,武俠仙俠,反派的求生路程,nightrain,妖怪
346,奇幻,學長的鱗片（修稿中）,雪袖子,妖怪
358,百合,天命,供過佛的多多綠,妖怪
